0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1979,354,236,3,,,,,,,,,,,,,,,,,
1980,424,264,4,,,,,,,,,,,,,,,,,
1981,499,353,8,,,,,,,,,,,,,,,,,
1982,613,441,12,,,,,,,,,,,,,,,,,
1983,692,505,12,,,,,,,,,,,,,,,,,
1984,806,598,16,,,,,,,,,,,,,,,,,
1985,896,664,15,,,,,,,,,,,,,,,,,
1986,"1,013",762,25,,,,,,,,,,,,,,,,,
1987,"1,128",813,26,,,,,,,,,,,,,,,,,
1988,"1,235",848,34,,,,,,,,,,,,,,,,,
1989,"1,308",898,37,,,,,,,,,,,,,,,,,
1990,"1,368",940,38,,,,,,,,,,,,,,,,,
1991,"1,449",979,37,,,,,,,,,,,,,,,,,
1992,"1,511","1,031",38,,,,,,,,,,,,,,,,,
1993,"1,575","1,111",41,,,,,,,,,,,,,,,,,
1994,"1,653","1,203",49,,,,,,,,,,,,,,,,,
1995,"1,732","1,284",48,,,,,,,,,,,,,,,,,
1996,"1,833","1,358",51,,,,,,,,,,,,,,,,,
1997,"1,864","1,408",56,,,,,,,,,,,,,,,,,
1998,"1,917","1,489",59,,,,,,,,,,,,,,,,,
1999,"1,960","1,515",65,,,,,,,,,,,,,,,,,
2000,"1,989","1,541",71,,,,,,,,,,,,,,,,,
2001,"1,968","1,538",71,,,,,,,,,,,,,,,,,
2002,"1,931","1,554",72,,,,,,,,,,,,,,,,,
2003,"1,883","1,417",78,,,,,,,,,,,,,,,,,
2004,"1,856","1,390",74,,,,,,,,,,,,,,,,,
2005,"1,802","1,366",77,,,,,,,,,,,,,,,,,
2006,"1,806","1,353",74,,,,,,,,,,,,,,,,,
2007,"1,806","1,338",71,,,,,,,,,,,,,,,,,
2008,"1,795","1,343",72,,,,,,,,,,,,,,,,,
2009,"1,779","1,318",76,,,,,,,,,,,,,,,,,
2010,"1,743","1,309",87,,,,,,,,,,,,,,,,,
2011,"1,721","1,274",70,,,,,,,,,,,,,,,,,
2012,"1,684","1,258",69,,,,,,,,,,,,,,,,,
2013,"1,670","1,251",62,,,,,,,,,,,,,,,,,
2014,"1,647","1,233",62,,,,,,,,,,,,,,,,,
2015,"1,606","1,202",64,,,,,,,,,,,,,,,,,
2016,"1,560","1,189",65,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics program (NPS-8), 1968–2016.",,,,,,,,,,,,,,,,,,,,
Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,
Filename: cp16sbat08.csv,,,,,,,,,,,,,,,,,,,,
"Appendix table 8. Numbers for table 4: Demographic characteristics for prisoners under sentence of death, 2016",,,,,,,,,,,,,,,,,,,,
"Report title: Capital Punishment, 2016 - Statistical Brief NCJ 251430",,,,,,,,,,,,,,,,,,,,
"Data source: National Prisoner Statistics program (NPS-8), 2016",,,,,,,,,,,,,,,,,,,,
"Authors: Elizabeth Davis and Tracy L. Snell, BJS Statisticians",,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or (202) 307-0765,,,,,,,,,,,,,,,,,,,,
Date of version: 4/30/2018,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
"Appendix table 8. Numbers for table 4: Demographic characteristics for prisoners under sentence of death, 2016",,,,,,,,,,,,,,,,,,,,
Demographic characteristic,,Total year-end,Admissions,Removals,,,,,,,,,,,,,,,,
,Total,"2,814",32,90,,,,,,,,,,,,,,,,
Sex,,,,,,,,,,,,,,,,,,,,
,Male,"2,762",31,87,,,,,,,,,,,,,,,,
,Female,52,1,3,,,,,,,,,,,,,,,,
Race,,,,,,,,,,,,,,,,,,,,
,White,"1,560",8,54,,,,,,,,,,,,,,,,
,Black,"1,189",20,33,,,,,,,,,,,,,,,,
,Other,65,4,3,,,,,,,,,,,,,,,,
Hispanic/Latino origin,,,,,,,,,,,,,,,,,,,,
,Hispanic/Latino,378,3,10,,,,,,,,,,,,,,,,
,Non-Hispanic/Latino,"2,175",24,68,,,,,,,,,,,,,,,,
,Unknown,261,5,12,,,,,,,,,,,,,,,,
Age,,,,,,,,,,,,,,,,,,,,
,18–19,1,1,0,,,,,,,,,,,,,,,,
,20–24,8,0,0,,,,,,,,,,,,,,,,
,25–29,67,4,2,,,,,,,,,,,,,,,,
,30–34,167,9,3,,,,,,,,,,,,,,,,
,35–39,334,8,14,,,,,,,,,,,,,,,,
,40–44,441,4,14,,,,,,,,,,,,,,,,
,45–49,509,3,13,,,,,,,,,,,,,,,,
,50–54,448,1,9,,,,,,,,,,,,,,,,
,55–59,380,1,10,,,,,,,,,,,,,,,,
,60–64,233,1,9,,,,,,,,,,,,,,,,
,65 or older,226,0,16,,,,,,,,,,,,,,,,
Education,,,,,,,,,,,,,,,,,,,,
,8th grade or less,275,3,20,,,,,,,,,,,,,,,,
,9th–11th grade,784,8,19,,,,,,,,,,,,,,,,
,High school graduate,,,,,,,,,,,,,,,,,,,
  GED,,983,6,33,,,,,,,,,,,,,,,,
,Any college,203,2,4,,,,,,,,,,,,,,,,
,Unknown,569,13,14,,,,,,,,,,,,,,,,
Marital status,,,,,,,,,,,,,,,,,,,,
,Married,515,2,15,,,,,,,,,,,,,,,,
,Divorced/separated,477,2,21,,,,,,,,,,,,,,,,
,Widowed,86,0,2,,,,,,,,,,,,,,,,
,Never married,"1,357",15,41,,,,,,,,,,,,,,,,
,Unknown,379,13,11,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics program (NPS-8), 2016.",,,,,,,,,,,,,,,,,,,,
Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,
Filename: cp16sbf01.csv,,,,,,,,,,,,,,,,,,,,
"Figure 1. Number of prisoners under sentence of death, 1953–2016",,,,,,,,,,,,,,,,,,,,
"Report title: Capital Punishment, 2016 - Statistical Brief NCJ 251430",,,,,,,,,,,,,,,,,,,,
"Data source: National Prisoner Statistics program (NPS-8), 2016",,,,,,,,,,,,,,,,,,,,
"Authors: Elizabeth Davis and Tracy L. Snell, BJS Statisticians",,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or (202) 307-0765,,,,,,,,,,,,,,,,,,,,
Date of version: 4/30/2018,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Figure 1. Number of prisoners under sentence of death, 1953–2016",,,,,,,,,,,,,,,,,,,,
,Number,,,,,,,,,,,,,,,,,,,
1953,131,,,,,,,,,,,,,,,,,,,
,147,,,,,,,,,,,,,,,,,,,
,125,,,,,,,,,,,,,,,,,,,
,146,,,,,,,,,,,,,,,,,,,
,151,,,,,,,,,,,,,,,,,,,
,147,,,,,,,,,,,,,,,,,,,
,164,,,,,,,,,,,,,,,,,,,
1960,212,,,,,,,,,,,,,,,,,,,
,257,,,,,,,,,,,,,,,,,,,
,267,,,,,,,,,,,,,,,,,,,
,297,,,,,,,,,,,,,,,,,,,
,315,,,,,,,,,,,,,,,,,,,
,331,,,,,,,,,,,,,,,,,,,
,406,,,,,,,,,,,,,,,,,,,
,435,,,,,,,,,,,,,,,,,,,
,517,,,,,,,,,,,,,,,,,,,
,575,,,,,,,,,,,,,,,,,,,
1970,631,,,,,,,,,,,,,,,,,,,
,642,,,,,,,,,,,,,,,,,,,
,334,,,,,,,,,,,,,,,,,,,
,134,,,,,,,,,,,,,,,,,,,
,244,,,,,,,,,,,,,,,,,,,
,488,,,,,,,,,,,,,,,,,,,
,420,,,,,,,,,,,,,,,,,,,
,423,,,,,,,,,,,,,,,,,,,
,482,,,,,,,,,,,,,,,,,,,
,593,,,,,,,,,,,,,,,,,,,
1980,692,,,,,,,,,,,,,,,,,,,
,860,,,,,,,,,,,,,,,,,,,
,"1,066",,,,,,,,,,,,,,,,,,,
,"1,209",,,,,,,,,,,,,,,,,,,
,"1,420",,,,,,,,,,,,,,,,,,,
,"1,575",,,,,,,,,,,,,,,,,,,
,"1,800",,,,,,,,,,,,,,,,,,,
,"1,967",,,,,,,,,,,,,,,,,,,
,"2,117",,,,,,,,,,,,,,,,,,,
,"2,243",,,,,,,,,,,,,,,,,,,
1990,"2,346",,,,,,,,,,,,,,,,,,,
,"2,465",,,,,,,,,,,,,,,,,,,
,"2,580",,,,,,,,,,,,,,,,,,,
,"2,727",,,,,,,,,,,,,,,,,,,
,"2,905",,,,,,,,,,,,,,,,,,,
,"3,064",,,,,,,,,,,,,,,,,,,
,"3,242",,,,,,,,,,,,,,,,,,,
,"3,328",,,,,,,,,,,,,,,,,,,
,"3,465",,,,,,,,,,,,,,,,,,,
,"3,527",,,,,,,,,,,,,,,,,,,
2000,"3,601",,,,,,,,,,,,,,,,,,,
,"3,577",,,,,,,,,,,,,,,,,,,
,"3,562",,,,,,,,,,,,,,,,,,,
,"3,377",,,,,,,,,,,,,,,,,,,
,"3,320",,,,,,,,,,,,,,,,,,,
,"3,245",,,,,,,,,,,,,,,,,,,
,"3,228",,,,,,,,,,,,,,,,,,,
,"3,215",,,,,,,,,,,,,,,,,,,
,"3,210",,,,,,,,,,,,,,,,,,,
,"3,173",,,,,,,,,,,,,,,,,,,
2010,"3,139",,,,,,,,,,,,,,,,,,,
,"3,065",,,,,,,,,,,,,,,,,,,
,"3,011",,,,,,,,,,,,,,,,,,,
,"2,983",,,,,,,,,,,,,,,,,,,
,"2,942",,,,,,,,,,,,,,,,,,,
,"2,872",,,,,,,,,,,,,,,,,,,
2016,"2,814",,,,,,,,,,,,,,,,,,,
Note: See appendix table 4 for counts.,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics program (NPS-8), 1953–2016.",,,,,,,,,,,,,,,,,,,,
Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,
Filename: cp16sbf02.csv,,,,,,,,,,,,,,,,,,,,
"Figure 2. Admissions to and removals from sentence of death, 1973–2016",,,,,,,,,,,,,,,,,,,,
"Report title: Capital Punishment, 2016 - Statistical Brief NCJ 251430",,,,,,,,,,,,,,,,,,,,
"Data source: National Prisoner Statistics program (NPS-8), 2016",,,,,,,,,,,,,,,,,,,,
"Authors: Elizabeth Davis and Tracy L. Snell, BJS Statisticians",,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or (202) 307-0765,,,,,,,,,,,,,,,,,,,,
Date of version: 4/30/2018,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Figure 2. Admissions to and removals from sentence of death, 1973–2016",,,,,,,,,,,,,,,,,,,,
,Admissions,Removals,,,,,,,,,,,,,,,,,,
1973,44,240,,,,,,,,,,,,,,,,,,
,161,55,,,,,,,,,,,,,,,,,,
,318,67,,,,,,,,,,,,,,,,,,
,249,317,,,,,,,,,,,,,,,,,,
,159,156,,,,,,,,,,,,,,,,,,
,211,150,,,,,,,,,,,,,,,,,,
,172,61,,,,,,,,,,,,,,,,,,
1980,202,101,,,,,,,,,,,,,,,,,,
,249,84,,,,,,,,,,,,,,,,,,
,287,79,,,,,,,,,,,,,,,,,,
,266,123,,,,,,,,,,,,,,,,,,
,305,90,,,,,,,,,,,,,,,,,,
,291,130,,,,,,,,,,,,,,,,,,
,320,109,,,,,,,,,,,,,,,,,,
,311,142,,,,,,,,,,,,,,,,,,
,317,165,,,,,,,,,,,,,,,,,,
,275,149,,,,,,,,,,,,,,,,,,
1990,270,152,,,,,,,,,,,,,,,,,,
,285,159,,,,,,,,,,,,,,,,,,
,300,173,,,,,,,,,,,,,,,,,,
,299,162,,,,,,,,,,,,,,,,,,
,330,153,,,,,,,,,,,,,,,,,,
,325,171,,,,,,,,,,,,,,,,,,
,323,155,,,,,,,,,,,,,,,,,,
,283,187,,,,,,,,,,,,,,,,,,
,311,174,,,,,,,,,,,,,,,,,,
,287,221,,,,,,,,,,,,,,,,,,
2000,235,173,,,,,,,,,,,,,,,,,,
,164,194,,,,,,,,,,,,,,,,,,
,172,191,,,,,,,,,,,,,,,,,,
,157,346,,,,,,,,,,,,,,,,,,
,139,198,,,,,,,,,,,,,,,,,,
,143,216,,,,,,,,,,,,,,,,,,
,125,145,,,,,,,,,,,,,,,,,,
,129,140,,,,,,,,,,,,,,,,,,
,122,136,,,,,,,,,,,,,,,,,,
,118,166,,,,,,,,,,,,,,,,,,
2010,116,143,,,,,,,,,,,,,,,,,,
,84,153,,,,,,,,,,,,,,,,,,
,85,128,,,,,,,,,,,,,,,,,,
,85,115,,,,,,,,,,,,,,,,,,
,68,111,,,,,,,,,,,,,,,,,,
,54,120,,,,,,,,,,,,,,,,,,
2016,32,90,,,,,,,,,,,,,,,,,,
"Note: Removals can be due to any cause including execution, other death, or appeal. See appendix table 5 for counts.",,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics program (NPS-8), 1973–2016.",,,,,,,,,,,,,,,,,,,,
Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,
Filename: cp16sbf03.csv,,,,,,,,,,,,,,,,,,,,
"Figure 3. Number of prisoners executed under civil authority in the United States, 1930-2016",,,,,,,,,,,,,,,,,,,,
"Report title: Capital Punishment, 2016 - Statistical Brief NCJ 251430",,,,,,,,,,,,,,,,,,,,
"Data source: National Prisoner Statistics program (NPS-8), 2016",,,,,,,,,,,,,,,,,,,,
"Authors: Elizabeth Davis and Tracy L. Snell, BJS Statisticians",,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or (202) 307-0765,,,,,,,,,,,,,,,,,,,,
Date of version: 4/30/2018,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Figure 3. Number of prisoners executed under civil authority in the United States, 1930-2016",,,,,,,,,,,,,,,,,,,,
,Executions,,,,,,,,,,,,,,,,,,,
1930,155,,,,,,,,,,,,,,,,,,,
,153,,,,,,,,,,,,,,,,,,,
,140,,,,,,,,,,,,,,,,,,,
,160,,,,,,,,,,,,,,,,,,,
,168,,,,,,,,,,,,,,,,,,,
,199,,,,,,,,,,,,,,,,,,,
,195,,,,,,,,,,,,,,,,,,,
,147,,,,,,,,,,,,,,,,,,,
,190,,,,,,,,,,,,,,,,,,,
,160,,,,,,,,,,,,,,,,,,,
1940,124,,,,,,,,,,,,,,,,,,,
,123,,,,,,,,,,,,,,,,,,,
,147,,,,,,,,,,,,,,,,,,,
,131,,,,,,,,,,,,,,,,,,,
,120,,,,,,,,,,,,,,,,,,,
,117,,,,,,,,,,,,,,,,,,,
,131,,,,,,,,,,,,,,,,,,,
,153,,,,,,,,,,,,,,,,,,,
,119,,,,,,,,,,,,,,,,,,,
,119,,,,,,,,,,,,,,,,,,,
1950,82,,,,,,,,,,,,,,,,,,,
,105,,,,,,,,,,,,,,,,,,,
,83,,,,,,,,,,,,,,,,,,,
,62,,,,,,,,,,,,,,,,,,,
,81,,,,,,,,,,,,,,,,,,,
,76,,,,,,,,,,,,,,,,,,,
,65,,,,,,,,,,,,,,,,,,,
,65,,,,,,,,,,,,,,,,,,,
,49,,,,,,,,,,,,,,,,,,,
,49,,,,,,,,,,,,,,,,,,,
1960,56,,,,,,,,,,,,,,,,,,,
,42,,,,,,,,,,,,,,,,,,,
,47,,,,,,,,,,,,,,,,,,,
,21,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,7,,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
1970,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,
1980,0,,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,,,,,
,21,,,,,,,,,,,,,,,,,,,
,18,,,,,,,,,,,,,,,,,,,
,18,,,,,,,,,,,,,,,,,,,
,25,,,,,,,,,,,,,,,,,,,
,11,,,,,,,,,,,,,,,,,,,
,16,,,,,,,,,,,,,,,,,,,
1990,23,,,,,,,,,,,,,,,,,,,
,14,,,,,,,,,,,,,,,,,,,
,31,,,,,,,,,,,,,,,,,,,
,38,,,,,,,,,,,,,,,,,,,
,31,,,,,,,,,,,,,,,,,,,
,56,,,,,,,,,,,,,,,,,,,
,45,,,,,,,,,,,,,,,,,,,
,74,,,,,,,,,,,,,,,,,,,
,68,,,,,,,,,,,,,,,,,,,
,98,,,,,,,,,,,,,,,,,,,
2000,85,,,,,,,,,,,,,,,,,,,
,66,,,,,,,,,,,,,,,,,,,
,71,,,,,,,,,,,,,,,,,,,
,65,,,,,,,,,,,,,,,,,,,
,59,,,,,,,,,,,,,,,,,,,
,60,,,,,,,,,,,,,,,,,,,
,53,,,,,,,,,,,,,,,,,,,
,42,,,,,,,,,,,,,,,,,,,
,37,,,,,,,,,,,,,,,,,,,
,52,,,,,,,,,,,,,,,,,,,
2010,46,,,,,,,,,,,,,,,,,,,
,43,,,,,,,,,,,,,,,,,,,
,43,,,,,,,,,,,,,,,,,,,
,39,,,,,,,,,,,,,,,,,,,
,35,,,,,,,,,,,,,,,,,,,
,28,,,,,,,,,,,,,,,,,,,
2016,20,,,,,,,,,,,,,,,,,,,
Note: Excludes 160 executions carried out by military authorities from 1930 to 1961. See appendix table 6 for counts.,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics program (NPS-8), 1930–2016.",,,,,,,,,,,,,,,,,,,,
Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,
Filename: cp16sbf04.csv,,,,,,,,,,,,,,,,,,,,
"Figure 4. Number of prisoners under sentence of death, by race, 1968–2016",,,,,,,,,,,,,,,,,,,,
"Report title: Capital Punishment, 2016 - Statistical Brief NCJ 251430",,,,,,,,,,,,,,,,,,,,
"Data source: National Prisoner Statistics program (NPS-8), 2016",,,,,,,,,,,,,,,,,,,,
"Authors: Elizabeth Davis and Tracy L. Snell, BJS Statisticians",,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or (202) 307-0765,,,,,,,,,,,,,,,,,,,,
Date of version: 4/30/2018,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Figure 4. Number of prisoners under sentence of death, by race, 1968–2016",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,White/a,Black/a,All other races/b,,,,,,,,,,,,,,,,,
1968,243,271,3,,,,,,,,,,,,,,,,,
,263,310,2,,,,,,,,,,,,,,,,,
1970,293,335,3,,,,,,,,,,,,,,,,,
,306,332,4,,,,,,,,,,,,,,,,,
,167,166,1,,,,,,,,,,,,,,,,,
,64,68,2,,,,,,,,,,,,,,,,,
,110,128,6,,,,,,,,,,,,,,,,,
,218,262,8,,,,,,,,,,,,,,,,,
,225,195,0,,,,,,,,,,,,,,,,,
,229,192,2,,,,,,,,,,,,,,,,,
,281,197,4,,,,,,,,,,,,,,,,,
,354,236,3,,,,,,,,,,,,,,,,,
1980,424,264,4,,,,,,,,,,,,,,,,,
,499,353,8,,,,,,,,,,,,,,,,,
,613,441,12,,,,,,,,,,,,,,,,,
,692,505,12,,,,,,,,,,,,,,,,,
,806,598,16,,,,,,,,,,,,,,,,,
,896,664,15,,,,,,,,,,,,,,,,,
,"1,013",762,25,,,,,,,,,,,,,,,,,
,"1,128",813,26,,,,,,,,,,,,,,,,,
,"1,235",848,34,,,,,,,,,,,,,,,,,
,"1,308",898,37,,,,,,,,,,,,,,,,,
1990,"1,368",940,38,,,,,,,,,,,,,,,,,
,"1,449",979,37,,,,,,,,,,,,,,,,,
,"1,511","1,031",38,,,,,,,,,,,,,,,,,
,"1,575","1,111",41,,,,,,,,,,,,,,,,,
,"1,653","1,203",49,,,,,,,,,,,,,,,,,
,"1,732","1,284",48,,,,,,,,,,,,,,,,,
,"1,833","1,358",51,,,,,,,,,,,,,,,,,
,"1,864","1,408",56,,,,,,,,,,,,,,,,,
,"1,917","1,489",59,,,,,,,,,,,,,,,,,
,"1,960","1,515",65,,,,,,,,,,,,,,,,,
2000,"1,989","1,541",71,,,,,,,,,,,,,,,,,
,"1,968","1,538",71,,,,,,,,,,,,,,,,,
,"1,931","1,554",72,,,,,,,,,,,,,,,,,
,"1,883","1,417",78,,,,,,,,,,,,,,,,,
,"1,856","1,390",74,,,,,,,,,,,,,,,,,
,"1,802","1,366",77,,,,,,,,,,,,,,,,,
,"1,806","1,353",74,,,,,,,,,,,,,,,,,
,"1,806","1,338",71,,,,,,,,,,,,,,,,,
,"1,795","1,343",72,,,,,,,,,,,,,,,,,
,"1,779","1,318",76,,,,,,,,,,,,,,,,,
2010,"1,743","1,309",87,,,,,,,,,,,,,,,,,
,"1,721","1,274",70,,,,,,,,,,,,,,,,,
,"1,684","1,258",69,,,,,,,,,,,,,,,,,
,"1,670","1,251",62,,,,,,,,,,,,,,,,,
,"1,647","1,233",62,,,,,,,,,,,,,,,,,
,"1,606","1,202",64,,,,,,,,,,,,,,,,,
2016,"1,560","1,189",65,,,,,,,,,,,,,,,,,
Note: See appendix table 7 for counts.,,,,,,,,,,,,,,,,,,,,
a/Includes persons of Hispanic/Latino origin.,,,,,,,,,,,,,,,,,,,,
"b/Includes American Indians and Alaska Natives; Asians, Native Hawaiians, and Other Pacific Islanders; and persons of Hispanic/Latino origin for whom no other race was identified.",,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics program (NPS-8), 1968–2016.",,,,,,,,,,,,,,,,,,,,
Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,
Filename: cp16sbf05.csv,,,,,,,,,,,,,,,,,,,,
"Figure 5. Advance count of executions, January 1–December 31, 2017",,,,,,,,,,,,,,,,,,,,
"Report title: Capital Punishment, 2016 - Statistical Brief NCJ 251430",,,,,,,,,,,,,,,,,,,,
"Data source: National Prisoner Statistics program (NPS-8), 2016",,,,,,,,,,,,,,,,,,,,
"Authors: Elizabeth Davis and Tracy L. Snell, BJS Statisticians",,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or (202) 307-0765,,,,,,,,,,,,,,,,,,,,
Date of version: 4/30/2018,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Figure 5. Advance count of executions, January 1–December 31, 2017",,,,,,,,,,,,,,,,,,,,
,Jurisdiction,,,,,,,,,,,,,,,,,,,
Total,23,,,,,,,,,,,,,,,,,,,
Texas,7,,,,,,,,,,,,,,,,,,,
Arkansas,4,,,,,,,,,,,,,,,,,,,
Alabama,3,,,,,,,,,,,,,,,,,,,
Florida,3,,,,,,,,,,,,,,,,,,,
Ohio,2,,,,,,,,,,,,,,,,,,,
Virginia,2,,,,,,,,,,,,,,,,,,,
Missouri,1,,,,,,,,,,,,,,,,,,,
Georgia,1,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics program (NPS-8), 2016.",,,,,,,,,,,,,,,,,,,,
Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,
Filename: cp16sbt01.csv,,,,,,,,,,,,,,,,,,,,
"Table 1. Status of the death penalty, December 31, 2016",,,,,,,,,,,,,,,,,,,,
"Report title: Capital Punishment, 2016 - Statistical Brief NCJ 251430",,,,,,,,,,,,,,,,,,,,
"Data source: National Prisoner Statistics program (NPS-8), 2016",,,,,,,,,,,,,,,,,,,,
"Authors: Elizabeth Davis and Tracy L. Snell, BJS Statisticians",,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or (202) 307-0765,,,,,,,,,,,,,,,,,,,,
Date of version: 4/30/2018,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Table 1. Status of the death penalty, December 31, 2016",,,,,,,,,,,,,,,,,,,,
Executions in 2016,,,Number of prisoners under sentence of death,,,Jurisdictions without death penalty,,,,,,,,,,,,,,
Georgia,9.0,,California,742,,Alaska,,,,,,,,,,,,,,
Texas,7.0,,Florida,382,,Connecticut,,,,,,,,,,,,,,
Alabama,2.0,,Texas,244,,District of Columbia,,,,,,,,,,,,,,
Florida,1.0,,Alabama,183,,Hawaii,,,,,,,,,,,,,,
Missouri,1.0,,Pennsylvania,174,,Illinois,,,,,,,,,,,,,,
,,,North Carolina,150,,Iowa,,,,,,,,,,,,,,
,,,Ohio,140,,Maine,,,,,,,,,,,,,,
,,,Arizona,118,,Maryland,,,,,,,,,,,,,,
,,,Nevada,83,,Massachusetts,,,,,,,,,,,,,,
,,,Louisiana,73,,Michigan,,,,,,,,,,,,,,
,,,Tennessee,63,,Minnesota,,,,,,,,,,,,,,
,,,Georgia,58,,New Jersey,,,,,,,,,,,,,,
,,,Federal Bureau of Prisons,58,,North Dakota,,,,,,,,,,,,,,
,,,Mississippi,47,,Rhode Island,,,,,,,,,,,,,,
,,,Oklahoma,46,,Vermont,,,,,,,,,,,,,,
,,,18 other jurisdictions*,253,,West Virginia,,,,,,,,,,,,,,
Total,20.0,,Total,"2,814",,,,,,,,,,,,,,,,
"*New Mexico repealed the death penalty for offenses committed on or after July 1, 2009. As of December 31, 2016, two males in New Mexico were under previously imposed death sentences.",,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics program (NPS-8), 2016.",,,,,,,,,,,,,,,,,,,,
Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,
Filename: cp16sbt02.csv,,,,,,,,,,,,,,,,,,,,
"Table 2. Prisoners under sentence of death, by region, jurisdiction, and race, 2015 and 2016",,,,,,,,,,,,,,,,,,,,
"Report title: Capital Punishment, 2016 - Statistical Brief NCJ 251430",,,,,,,,,,,,,,,,,,,,
"Data source: National Prisoner Statistics program (NPS-8), 2016",,,,,,,,,,,,,,,,,,,,
"Authors: Elizabeth Davis and Tracy L. Snell, BJS Statisticians",,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or (202) 307-0765,,,,,,,,,,,,,,,,,,,,
Date of version: 4/30/2018,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Table 2. Prisoners under sentence of death, by region, jurisdiction, and race, 2015 and 2016",,,,,,,,,,,,,,,,,,,,
,,"Prisoners under sentence of death, 12/31/15",,,,"Received under sentence of death, 2016  ",,,,"Removed from death row (excluding executions), 2016 ",,,,"Executed, 2016  ",,,,"Prisoners under sentence of death, 12/31/16",,
Region and jurisdiction,,Total/a,"White/b, c",Black/b,,Total/a,White/b,Black/b,,Total/a,White/b,Black/b,,Total/a,White/b,Black/b,,Total/a,White/b,Black/b
U.S. total,,"2,872","1,606","1,202",,32,8,20,,70,36,31,,20,18,2,,"2,814","1,560","1,189"
,Federal/d,59,30,28,,0,0,0,,1,0,1,,0,0,0,,58,30,27
,State,"2,813","1,576","1,174",,32,8,20,,69,36,30,,20,18,2,,"2,756","1,530","1,162"
Northeast,,193,87,104,,1,0,0,,19,8,11,,0,0,0,,175,79,93
,Connecticut/e,11,5,6,,0,0,0,,11,5,6,,0,0,0,,0,0,0
,New Hampshire,1,0,1,,0,0,0,,0,0,0,,0,0,0,,1,0,1
,New York,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
,Pennsylvania,181,82,97,,1,0,0,,8,3,5,,0,0,0,,174,79,92
Midwest,,200,109,90,,5,2,3,,3,2,1,,1,1,0,,201,108,92
